prefix,k,support,dH,pred_next
13-13,2,64577,1.276859,13
11-11,2,26161,1.416235,11
9-9,2,20435,1.894090,9
15-15,2,15399,1.931680,15
4-4,2,14736,0.990007,4
7-7,2,14551,1.705950,7
6-6,2,12268,1.026071,6
0-0,2,11511,1.628882,0
5-5,2,11452,1.522843,5
1-1,2,7831,1.349277,1
3-3,2,7628,1.531675,3
2-2,2,7422,1.494165,2
10-10,2,7304,1.130764,10
12-12,2,6634,1.076682,12
9-13,2,4278,2.702395,13
13-9,2,4226,2.656280,13
15-9,2,4055,2.743264,9
9-15,2,4047,2.699386,15
11-13,2,4032,2.632827,13
13-11,2,3966,2.619390,13
15-13,2,2928,2.832669,13
13-15,2,2891,2.806812,13
14-14,2,2741,2.251096,14
7-9,2,2710,2.844294,9
9-7,2,2683,2.852955,7
13-7,2,2667,2.778269,13
7-13,2,2652,2.813326,13
13-5,2,2573,2.651285,13
5-13,2,2531,2.629297,13
15-7,2,2286,2.902811,15
7-15,2,2179,2.923128,15
11-9,2,1889,2.972720,11
0-13,2,1888,2.765720,13
9-11,2,1882,2.997760,11
13-0,2,1846,2.787705,13
4-13,2,1551,2.612342,13
13-4,2,1521,2.572026,13
9-5,2,1457,2.994517,9
5-9,2,1422,2.906703,9
7-11,2,1346,3.000217,11
8-8,2,1346,1.574677,8
11-7,2,1312,2.927057,11
3-13,2,1202,2.799920,13
13-3,2,1201,2.864774,13
1-13,2,1200,2.708402,13
11-15,2,1179,3.098031,11
13-1,2,1166,2.636668,13
15-11,2,1143,3.087853,11
15-0,2,1133,2.946456,15
9-0,2,1131,3.023511,0
2-13,2,1126,2.672101,13
0-9,2,1121,3.064767,9
0-15,2,1092,2.964026,15
5-11,2,1089,2.948155,11
13-2,2,1073,2.705573,13
14-13,2,1041,3.023023,13
11-2,2,1032,2.438220,2
11-5,2,1031,2.950819,11
10-13,2,1011,2.715797,13
2-11,2,997,2.484513,2
0-11,2,995,2.897853,11
13-14,2,994,2.970661,13
11-0,2,975,3.045565,11
13-10,2,948,2.663717,13
6-13,2,936,2.475331,13
15-5,2,902,3.142304,5
13-6,2,888,2.442333,13
9-14,2,878,3.080293,9
5-15,2,871,3.118647,15
7-5,2,853,3.045692,5
14-9,2,849,3.061588,9
5-7,2,823,2.988089,7
7-0,2,790,3.202876,0
15-14,2,781,3.328786,15
14-15,2,762,3.165599,15
6-11,2,761,2.453788,6
11-6,2,755,2.430722,6
0-7,2,744,3.108503,7
9-3,2,733,3.234106,9
0-3,2,730,3.029786,0
3-9,2,714,3.224828,9
14-11,2,713,3.078111,11
14-7,2,702,3.083395,7
7-14,2,698,3.059702,7
4-11,2,697,2.857861,11
3-0,2,695,3.152044,0
11-4,2,695,2.830512,11
11-14,2,663,2.982334,11
12-13,2,619,2.644635,13
4-0,2,617,2.889522,0
11-3,2,610,3.224569,11
9-10,2,605,3.139595,9
0-4,2,603,2.842112,4
3-11,2,600,2.985091,11
13-12,2,599,2.625089,13
10-9,2,595,3.134917,9
5-0,2,588,3.130681,0
1-11,2,588,2.869441,11
10-15,2,581,3.013609,15
11-1,2,581,2.891813,1
0-5,2,578,3.144642,0
9-4,2,576,3.231402,4
4-9,2,572,3.161971,9
15-3,2,567,3.140391,15
3-15,2,560,3.246565,15
3-4,2,553,2.888268,4
4-15,2,551,3.119216,15
4-3,2,546,2.691234,4
15-10,2,528,2.992991,15
15-4,2,527,3.041909,15
9-1,2,523,2.939288,1
3-7,2,514,3.076688,7
1-9,2,512,2.879901,9
2-15,2,503,3.035348,15
2-5,2,500,2.806753,5
5-2,2,500,2.749634,2
2-9,2,488,3.171079,9
15-2,2,486,3.127553,2
7-3,2,481,3.114768,7
4-7,2,474,3.202155,7
9-2,2,439,3.042728,2
5-14,2,438,3.182542,5
7-4,2,429,3.245548,7
14-2,2,426,3.161027,2
14-5,2,422,3.278661,5
1-7,2,413,3.058294,1
7-1,2,409,3.093385,1
2-14,2,408,3.188060,2
7-10,2,398,3.246359,10
10-7,2,395,3.339457,7
11-10,2,380,3.132006,11
2-7,2,379,3.110672,7
10-11,2,372,3.105056,11
9-6,2,362,2.893755,6
7-2,2,356,3.099116,7
15-1,2,352,3.199662,1
0-14,2,346,3.351843,0
8-13,2,338,2.945451,13
3-5,2,337,3.354540,5
5-4,2,336,3.202041,4
1-15,2,336,3.130549,1
6-9,2,335,2.954133,6
4-5,2,334,3.199548,5
13-8,2,332,2.950379,13
14-0,2,323,3.266074,0
12-3,2,314,2.875961,3
10-0,2,301,3.258066,0
7-6,2,298,2.952193,6
0-12,2,298,2.900840,12
0-10,2,296,3.192691,0
12-9,2,289,3.180797,9
5-3,2,280,3.173601,3
12-15,2,280,3.014460,12
3-12,2,279,2.939579,12
9-12,2,277,3.109963,9
5-1,2,277,3.078078,1
12-0,2,273,2.958586,12
1-5,2,266,2.919108,5
6-7,2,266,2.794690,6
6-3,2,262,2.465330,6
15-12,2,257,3.028997,12
